year,state_alpha,county_name,county_code,commodity_desc,short_desc,Value,unit_desc
2020,IA,BUCHANAN,019,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",56.7,BU / ACRE
2021,IA,BUCHANAN,019,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",63.4,BU / ACRE
2022,IA,BUCHANAN,019,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",65.0,BU / ACRE
2023,IA,BUCHANAN,019,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",51.8,BU / ACRE
2024,IA,BUCHANAN,019,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",59.9,BU / ACRE
2025,IA,BUCHANAN,019,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",64.2,BU / ACRE
2010,IA,BUENA VISTA,021,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",50.4,BU / ACRE
2011,IA,BUENA VISTA,021,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",49.3,BU / ACRE
2012,IA,BUENA VISTA,021,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",42.8,BU / ACRE
2013,IA,BUENA VISTA,021,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",44.9,BU / ACRE
2014,IA,BUENA VISTA,021,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",49.1,BU / ACRE
2015,IA,BUENA VISTA,021,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",59.6,BU / ACRE
2016,IA,BUENA VISTA,021,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",60.2,BU / ACRE
2017,IA,BUENA VISTA,021,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",56.5,BU / ACRE
2018,IA,BUENA VISTA,021,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",55.5,BU / ACRE
2019,IA,BUENA VISTA,021,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",53.5,BU / ACRE
2021,IA,BUENA VISTA,021,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",63.8,BU / ACRE
2022,IA,BUENA VISTA,021,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",57.2,BU / ACRE
2023,IA,BUENA VISTA,021,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",61.1,BU / ACRE
2025,IA,BUENA VISTA,021,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",64.0,BU / ACRE
2010,IA,BUTLER,023,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",54.5,BU / ACRE
2011,IA,BUTLER,023,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",55.3,BU / ACRE
2012,IA,BUTLER,023,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",40.0,BU / ACRE
2013,IA,BUTLER,023,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",49.4,BU / ACRE
2014,IA,BUTLER,023,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",46.3,BU / ACRE
2015,IA,BUTLER,023,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",57.7,BU / ACRE
2016,IA,BUTLER,023,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",59.9,BU / ACRE
2017,IA,BUTLER,023,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",55.9,BU / ACRE
2018,IA,BUTLER,023,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",56.1,BU / ACRE
2019,IA,BUTLER,023,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",55.0,BU / ACRE
2020,IA,BUTLER,023,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",54.2,BU / ACRE
2021,IA,BUTLER,023,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",60.8,BU / ACRE
2022,IA,BUTLER,023,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",61.6,BU / ACRE
2023,IA,BUTLER,023,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",50.9,BU / ACRE
2024,IA,BUTLER,023,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",58.3,BU / ACRE
2025,IA,BUTLER,023,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",63.3,BU / ACRE
2010,IA,CALHOUN,025,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",47.6,BU / ACRE
2011,IA,CALHOUN,025,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",51.7,BU / ACRE
2012,IA,CALHOUN,025,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",40.3,BU / ACRE
2013,IA,CALHOUN,025,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",36.4,BU / ACRE
2014,IA,CALHOUN,025,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",51.0,BU / ACRE
2015,IA,CALHOUN,025,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",55.2,BU / ACRE
2016,IA,CALHOUN,025,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",62.3,BU / ACRE
2017,IA,CALHOUN,025,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",57.5,BU / ACRE
2018,IA,CALHOUN,025,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",53.1,BU / ACRE
2019,IA,CALHOUN,025,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",55.1,BU / ACRE
2020,IA,CALHOUN,025,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",47.7,BU / ACRE
2021,IA,CALHOUN,025,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",63.5,BU / ACRE
2022,IA,CALHOUN,025,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",61.2,BU / ACRE
2023,IA,CALHOUN,025,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",57.4,BU / ACRE
2024,IA,CALHOUN,025,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",62.6,BU / ACRE
2025,IA,CALHOUN,025,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",63.0,BU / ACRE
2010,IA,CARROLL,027,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",52.8,BU / ACRE
2011,IA,CARROLL,027,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",52.2,BU / ACRE
2012,IA,CARROLL,027,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",39.8,BU / ACRE
2013,IA,CARROLL,027,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",41.8,BU / ACRE
2014,IA,CARROLL,027,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",55.9,BU / ACRE
2015,IA,CARROLL,027,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",58.0,BU / ACRE
2016,IA,CARROLL,027,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",58.7,BU / ACRE
2017,IA,CARROLL,027,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",60.4,BU / ACRE
2018,IA,CARROLL,027,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",59.0,BU / ACRE
2019,IA,CARROLL,027,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",58.8,BU / ACRE
2020,IA,CARROLL,027,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",54.8,BU / ACRE
2021,IA,CARROLL,027,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",65.3,BU / ACRE
2022,IA,CARROLL,027,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",58.9,BU / ACRE
2023,IA,CARROLL,027,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",56.8,BU / ACRE
2024,IA,CARROLL,027,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",67.6,BU / ACRE
2010,IA,CASS,029,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",53.2,BU / ACRE
2011,IA,CASS,029,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",52.4,BU / ACRE
2012,IA,CASS,029,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",37.1,BU / ACRE
2013,IA,CASS,029,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",44.8,BU / ACRE
2014,IA,CASS,029,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",53.8,BU / ACRE
2015,IA,CASS,029,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",57.2,BU / ACRE
2016,IA,CASS,029,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",59.6,BU / ACRE
2017,IA,CASS,029,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",56.9,BU / ACRE
2018,IA,CASS,029,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",52.6,BU / ACRE
2019,IA,CASS,029,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",56.9,BU / ACRE
2020,IA,CASS,029,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",49.3,BU / ACRE
2021,IA,CASS,029,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",63.3,BU / ACRE
2022,IA,CASS,029,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",51.2,BU / ACRE
